STATE,GE14_PARLIAMENTARY_CODE,GE14_PARLIAMENTARY_NAME,GE14_TOTAL_ELECTORS,GE14_TOTAL_TURNOUT,GE14_NORMAL_VOTERS_PERCENT,GE14_MILITARY_VOTERS_PERCENT,GE14_POLICE_VOTERS_PERCENT,GE14_ABSENT_VOTERS_PERCENT,GE14_POSTAL_VOTER_SHARE_PERCENT,GE15_PARLIAMENTARY_CODE,GE15_PARLIAMENTARY_NAME,GE15_TOTAL_ELECTORS,GE15_TOTAL_TURNOUT,GE15_NORMAL_VOTERS_PERCENT,GE15_MILITARY_VOTERS_PERCENT,GE15_POLICE_VOTERS_PERCENT,GE15_ABSENT_VOTERS_PERCENT,GE15_POSTAL_VOTER_SHARE,NUMERICAL_GROWTH_OF_POSTAL_VOTERS_SINCE_GE14
SELANGOR,P.107,SUNGAI BULOH,90707,78874,96.37,3.02,0.56,0.05,1.17,P.107,SUNGAI BULOH,158090,130846,98.46,1.17,0.34,0.03,1.87,1534
SELANGOR,P.108,SHAH ALAM,107316,94241,97.93,0.08,1.93,0.06,1.28,P.108,SHAH ALAM,165744,137082,98.90,0.03,1.03,0.04,2.03,1574
SELANGOR,P.109,KAPAR,124983,107829,99.67,0.00,0.32,0.02,1.31,P.109,KAPAR,189369,159700,99.73,0.00,0.26,0.01,1.58,1113
SELANGOR,P.110,KLANG,149348,128536,99.11,0.24,0.62,0.03,0.63,P.110,KLANG,208913,165554,99.38,0.15,0.46,0.02,1.17,1131
SELANGOR,P.111,KOTA RAJA,149021,129412,99.94,0.00,0.02,0.04,0.94,P.111,KOTA RAJA,244712,199878,99.96,0.00,0.02,0.02,1.70,2182
SELANGOR,P.112,KUALA LANGAT,102406,89437,98.85,0.77,0.36,0.01,1.62,P.112,KUALA LANGAT,148637,125449,99.26,0.48,0.25,0.01,1.88,911
SELANGOR,P.113,SEPANG,104508,92087,98.47,0.00,1.48,0.05,1.13,P.113,SEPANG,168039,139667,98.87,0.00,1.10,0.03,1.73,1375
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.114,KEPONG,72696,61812,99.58,0.00,0.39,0.03,0.34,P.114,KEPONG,94285,72657,99.69,0.00,0.30,0.01,0.58,209
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.115,BATU,76328,63600,95.22,3.69,1.06,0.03,1.12,P.115,BATU,113863,87841,97.37,1.95,0.67,0.02,1.86,925
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.116,WANGSA MAJU,88482,74509,95.88,3.48,0.59,0.05,1.66,P.116,WANGSA MAJU,120323,93493,97.65,2.04,0.28,0.03,2.00,636
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.117,SEGAMBUT,77956,65265,99.87,0.00,0.03,0.11,0.93,P.117,SEGAMBUT,119652,86274,99.74,0.00,0.21,0.05,2.23,1315
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.118,SETIAWANGSA,72136,61884,75.82,19.78,4.33,0.07,5.15,P.118,SETIAWANGSA,95753,75725,87.31,9.78,2.87,0.04,4.72,387
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.119,TITIWANGSA,61598,50858,95.57,3.59,0.78,0.06,1.50,P.119,TITIWANGSA,80747,61450,97.37,2.24,0.37,0.02,1.86,381
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.120,BUKIT BINTANG,69526,52765,94.56,2.49,2.92,0.03,0.65,P.120,BUKIT BINTANG,79782,53247,96.74,0.00,3.25,0.01,0.99,182
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.121,LEMBAH PANTAI,80346,67059,87.22,0.06,12.68,0.04,2.70,P.121,LEMBAH PANTAI,101828,77469,90.38,0.05,9.55,0.02,3.70,1054
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.122,SEPUTEH,86256,70583,99.85,0.00,0.09,0.06,0.60,P.122,SEPUTEH,124805,88107,99.65,0.00,0.32,0.02,1.45,854
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.123,CHERAS,78819,64074,99.39,0.00,0.58,0.03,0.50,P.123,CHERAS,101184,72207,98.86,0.00,1.13,0.01,1.11,486
WILAYAH PERSEKUTUAN KUALA LUMPUR,P.124,BANDAR TUN RAZAK,83650,71180,93.41,6.28,0.27,0.04,1.92,P.124,BANDAR TUN RAZAK,119185,93845,95.78,4.04,0.17,0.02,2.58,1057
WILAYAH PERSEKUTUAN PUTRAJAYA,P.125,PUTRAJAYA,27306,24881,96.71,0.00,3.02,0.27,2.54,P.125,PUTRAJAYA,42881,36969,96.61,1.49,1.74,0.16,2.90,439
NEGERI SEMBILAN,P.126,JELEBU,48522,39733,96.45,0.00,3.54,0.01,3.02,P.126,JELEBU,59561,46008,98.75,0.00,1.24,0.01,2.71,46
NEGERI SEMBILAN,P.127,JEMPOL,72122,58523,99.41,0.00,0.58,0.01,2.13,P.127,JEMPOL,95813,72808,99.59,0.00,0.41,0.00,2.39,498
NEGERI SEMBILAN,P.128,SEREMBAN,110168,93254,97.90,0.50,1.55,0.05,1.75,P.128,SEREMBAN,157244,124729,98.97,0.02,0.98,0.03,2.11,1000
NEGERI SEMBILAN,P.129,KUALA PILAH,49801,41156,99.27,0.00,0.71,0.02,2.54,P.129,KUALA PILAH,63247,49280,99.41,0.00,0.57,0.02,3.10,481
NEGERI SEMBILAN,P.130,RASAH,102838,86655,97.47,1.87,0.61,0.04,1.53,P.130,RASAH,155896,120928,98.48,1.04,0.46,0.02,1.75,789
NEGERI SEMBILAN,P.131,REMBAU,88365,75315,98.65,0.77,0.53,0.05,2.38,P.131,REMBAU,133555,110586,98.32,1.28,0.38,0.02,2.58,1066
